162.634,7249
165.535,6705
168.435,6375.5
171.333,5977
174.228,5876
177.121,5819
180.011,5666
182.899,5846.5
185.786,6115.5
188.669,6399.5
191.551,6954
194.43,7483
197.307,8140
200.182,9019
203.055,9732
205.925,10365
208.793,10526.5
211.659,10445.5
214.523,9705.5
217.385,8604
220.244,7398.5
223.101,6245.5
225.956,5373.5
228.808,4698
231.659,4233.5
234.507,3866
237.353,3699
240.196,3463
243.038,3315.5
245.877,3142
248.714,3150
251.549,3074
254.382,2941.5
257.213,2819
260.041,2751.5
262.867,2774
265.691,2765
268.513,2676
271.333,2754
274.15,2595.5
276.965,2685.5
279.778,2648
282.589,2622
285.398,2670.5
288.205,2691
291.009,2677.5
293.811,2677.5
296.612,2784
299.409,2768.5
302.205,2823.5
304.999,2992.5
307.79,3198
310.58,3566
313.367,3920
316.152,4820.5
318.935,5675
321.716,6406
324.494,6773.5
327.271,6882.5
330.045,6792.5
332.818,6170.5
335.588,5124.5
338.356,4578
341.122,3797.5
343.885,3368
346.647,2800
349.407,2687
352.164,2467.5
354.919,2497
357.673,2540
360.424,2562.5
363.173,2593.5
365.92,2630.5
368.665,2813.5
371.407,2921.5
374.148,3283.5
376.886,3918
379.623,5369.5
382.357,6803.5
385.089,7894.5
387.82,8301.5
390.548,8110.5
393.274,7344
395.998,6146
398.72,4594.5
401.44,3720.5
404.157,3354.5
406.873,3237.5
409.587,3162
412.298,3027.5
415.008,2771.5
417.715,2633.5
420.42,2323.5
423.124,2370.5
425.825,2295
428.524,2276.5
431.221,2249
433.917,2329
436.61,2272.5
439.301,2347
441.99,2421.5
444.677,2635.5
447.362,2871
450.045,3060
452.726,3448.5
455.404,3987.5
458.081,4389.5
460.756,4515
463.429,4598.5
466.1,4402
468.769,4176
471.435,3663.5
474.1,3242.5
476.763,2889
479.424,2742
482.082,2613
484.739,2408.5
487.394,2470
490.046,2604
492.697,2872.5
495.346,3384.5
497.993,3689.5
500.637,3944
503.28,3823
505.921,3677.5
508.56,3343
511.197,2869
513.831,2433.5
516.464,2212
519.095,2109.5
521.724,2148
524.351,2141.5
526.976,1996.5
529.599,2025.5
532.22,1926.5
534.839,2012.5
537.456,1864.5
540.072,1940
542.685,1886
545.296,1924
547.905,1848.5
550.513,1870
553.118,1903
555.722,1965
558.323,2031.5
560.923,2064
563.52,2053.5
566.116,2178.5
568.71,1929
571.302,1996
573.892,2083.5
576.48,2215.5
579.066,2168.5
581.65,2147
584.232,2163
586.812,2267
589.391,2384
591.967,2514
594.542,2827
597.114,3144.5
599.685,3241.5
602.254,3210
604.821,3335.5
607.386,3164.5
609.949,2979
612.51,2819
615.07,3027.5
617.627,3315
620.182,3743.5
622.736,4042.5
625.288,4113.5
627.838,4186
630.386,4041
632.932,3805.5
635.476,3669.5
638.018,3887
640.559,4780
643.097,6246
645.634,7578.5
648.169,8073.5
650.702,8350
653.233,7805.5
655.762,6748.5
658.289,5484
660.815,4130
663.338,3357
665.86,3016.5
668.38,2835
670.898,2879
673.414,2907.5
675.929,2917
678.441,3020.5
680.952,3155.5
683.461,3203.5
685.968,3182
688.473,3171
690.976,3035.5
693.478,3212
695.977,3134.5
698.475,3279.5
700.971,3609
703.465,3961.5
705.957,4291
708.448,4398
710.937,4429.5
713.423,4151.5
715.908,3820
718.392,3458
720.873,3159
723.353,2885.5
725.83,2905
728.306,2918.5
730.78,2819
733.253,2766.5
735.723,2721.5
738.192,2829.5
740.659,2631.5
743.124,2517
745.587,2447.5
748.049,2333.5
750.509,2274
752.967,2120
755.423,2141.5
757.877,2031
760.33,2130
762.781,2142.5
765.23,2039
767.677,2031.5
770.122,2019
772.566,2094.5
775.008,2112
777.448,2229.5
779.886,2452.5
782.323,2914
784.758,3704
787.191,5084.5
789.622,6699.5
792.052,8134
794.48,9106
796.906,9371.5
799.33,8895
801.752,7890.5
804.173,6388
806.592,5158
809.009,4116
811.425,3509.5
813.839,3498
816.251,3293
818.661,3455
821.07,3632.5
823.477,3808
825.882,4154
828.285,4453
830.687,4609.5
833.086,4687
835.485,4428.5
837.881,4384.5
840.276,4279
842.669,4409.5
845.06,5229.5
847.45,7088.5
849.837,9806
852.223,12116.5
854.608,13905
856.991,14381.5
859.372,13609
861.751,11720.5
864.128,9257
866.504,6823
868.878,4733
871.251,3495.5
873.621,2684
875.991,2400.5
878.358,2071.5
880.724,1950.5
883.087,1784
885.45,1688.5
887.81,1755.5
890.169,1678
892.526,1702.5
894.882,1702.5
897.236,1733.5
899.588,1705.5
901.938,1776.5
904.287,1615
906.634,1606.5
908.98,1740
911.324,1779
913.666,1664
916.006,1700.5
918.345,1771.5
920.682,1653
923.017,1761
925.351,1739
927.683,1768.5
930.014,1774
932.343,1728
934.67,1711
936.995,1726
939.319,1752.5
941.641,1815.5
943.962,1813
946.281,1818
948.598,1793
950.913,1826.5
953.227,1884.5
955.54,1944.5
957.85,2159
960.159,2537.5
962.467,2925
964.773,3439.5
967.077,3386
969.379,3480.5
971.68,3228.5
973.979,2837.5
976.277,2483.5
978.573,2081.5
980.867,1910
983.16,1841.5
985.451,1736
987.741,1739
990.029,1754
