À­ÂüÎ»ÒÆ,Count
162.634,10708.5
165.535,10351
168.435,9891
171.333,9638
174.228,9258.5
177.121,9314.5
180.011,9376
182.899,9682.5
185.786,10031
188.669,10580
191.551,11086.5
194.43,11837.5
197.307,12631
200.182,13588.5
203.055,14326
205.925,14922.5
208.793,15146.5
211.659,14731.5
214.523,13853
217.385,12700
220.244,11170.5
223.101,9955.5
225.956,8963
228.808,8272.5
231.659,7773
234.507,7290.5
237.353,7017.5
240.196,6827.5
243.038,6621.5
245.877,6523
248.714,6367
251.549,6268.5
254.382,6146.5
257.213,6147.5
260.041,6135.5
262.867,5990
265.691,6021
268.513,6001.5
271.333,5898
274.15,5899
276.965,5867.5
279.778,5849
282.589,5862.5
285.398,5874.5
288.205,5954
291.009,5879.5
293.811,5854
296.612,5971.5
299.409,6010.5
302.205,6060.5
304.999,6197.5
307.79,6518
310.58,7081.5
313.367,7690
316.152,8695.5
318.935,9661.5
321.716,10393
324.494,10740
327.271,10804
330.045,10308.5
332.818,9552
335.588,8611
338.356,7859.5
341.122,7051
343.885,6454.5
346.647,6059
349.407,5772.5
352.164,5694
354.919,5702
357.673,5621
360.424,5730
363.173,5715.5
365.92,5863.5
368.665,5908
371.407,6215
374.148,6774.5
376.886,7672.5
379.623,9364.5
382.357,10948.5
385.089,11980
387.82,12214.5
390.548,11856.5
393.274,10789
395.998,9308
398.72,7947.5
401.44,7043
404.157,6563
406.873,6295.5
409.587,6219
412.298,5953.5
415.008,5719.5
417.715,5542
420.42,5346.5
423.124,5217
425.825,5224.5
428.524,5174
431.221,5154
433.917,5166.5
436.61,5243
439.301,5270
441.99,5340
444.677,5574
447.362,5836
450.045,6251
452.726,6720.5
455.404,7227
458.081,7582.5
460.756,7782
463.429,7778
466.1,7494
468.769,7095
471.435,6666.5
474.1,6135.5
476.763,5777.5
479.424,5564.5
482.082,5434.5
484.739,5390.5
487.394,5335
490.046,5424.5
492.697,5897
495.346,6364.5
497.993,6736.5
500.637,6887
503.28,6806
505.921,6583.5
508.56,6154.5
511.197,5562
513.831,5268.5
516.464,5023.5
519.095,4912.5
521.724,4786
524.351,4918.5
526.976,4776
529.599,4698
532.22,4629
534.839,4670
537.456,4590
540.072,4601.5
542.685,4563.5
545.296,4567
547.905,4556.5
550.513,4630.5
553.118,4576.5
555.722,4677.5
558.323,4669.5
560.923,4671
563.52,4743.5
566.116,4729
568.71,4769
571.302,4798.5
573.892,4742.5
576.48,4782.5
579.066,4762.5
581.65,4874
584.232,4941
586.812,5006
589.391,5050
591.967,5312
594.542,5645.5
597.114,5939.5
599.685,6138.5
602.254,6152.5
604.821,6199
607.386,5959.5
609.949,5840.5
612.51,5793.5
615.07,5965
617.627,6346.5
620.182,6676.5
622.736,6938
625.288,7121.5
627.838,7160
630.386,6956.5
632.932,6718
635.476,6727.5
638.018,7149.5
640.559,8431
643.097,9813
645.634,11179
648.169,11800
650.702,11728.5
653.233,10997.5
655.762,9848
658.289,8359
660.815,7145.5
663.338,6186.5
665.86,5629
668.38,5660
670.898,5554
673.414,5614.5
675.929,5671.5
678.441,5829.5
680.952,5932
683.461,5946.5
685.968,5862
688.473,5869
690.976,5905.5
693.478,5819
695.977,5968.5
698.475,6039.5
700.971,6447.5
703.465,6938
705.957,7272
708.448,7413
710.937,7162.5
713.423,6841
715.908,6542
718.392,6190.5
720.873,5892
723.353,5630.5
725.83,5583.5
728.306,5586
730.78,5471.5
733.253,5420.5
735.723,5405
738.192,5261.5
740.659,5178
743.124,5080.5
745.587,4996.5
748.049,4850
750.509,4760.5
752.967,4647.5
755.423,4617
757.877,4612
760.33,4548
762.781,4500
765.23,4492
767.677,4490.5
770.122,4560.5
772.566,4549.5
775.008,4738
777.448,4733
779.886,5106
782.323,5683.5
784.758,6773
787.191,8387.5
789.622,10137.5
792.052,11545.5
794.48,12646.5
796.906,12844.5
799.33,12171
801.752,10857.5
804.173,9401.5
806.592,7993.5
809.009,6934
811.425,6277
813.839,6041
816.251,6030.5
818.661,6030.5
821.07,6236.5
823.477,6471
825.882,6978.5
828.285,7239
830.687,7381
833.086,7395
835.485,7180
837.881,7071
840.276,7032
842.669,7297
845.06,8673.5
847.45,11036.5
849.837,13894.5
852.223,16465.5
854.608,17876
856.991,18418.5
859.372,17337.5
861.751,15122
864.128,12431.5
866.504,9831
868.878,7575.5
871.251,6021
873.621,5143
875.991,4673.5
878.358,4397.5
880.724,4232
883.087,4169
885.45,3996.5
887.81,3966.5
890.169,3993
892.526,3835.5
894.882,3895.5
897.236,3915.5
899.588,3926.5
901.938,3919.5
904.287,3906.5
906.634,3860.5
908.98,3930
911.324,3907.5
913.666,3890
916.006,3890
918.345,3894
920.682,3910.5
923.017,3918.5
925.351,3941.5
927.683,3895.5
930.014,3895.5
932.343,3825.5
934.67,3804
936.995,3953.5
939.319,3932
941.641,3997.5
943.962,3974.5
946.281,3963.5
948.598,3957.5
950.913,3944.5
953.227,4011.5
955.54,4193
957.85,4478.5
960.159,4855
962.467,5278
964.773,5692.5
967.077,5761.5
969.379,5645
971.68,5502
973.979,5047.5
976.277,4648
978.573,4266.5
980.867,3948
983.16,3880.5
985.451,3813.5
987.741,3785.5
990.029,3799
992.315,3852
994.6,3905
996.883,3883.5
999.164,4100
1001.44,4124.5
1003.72,4292
1006,4438
1008.27,4543
1010.55,4705
1012.82,4848.5
1015.09,4799
1017.36,4742
1019.63,4649.5
1021.89,4552.5
1024.15,4356
1026.42,4339.5
1028.68,4194.5
1030.94,4154.5
1033.19,4081
1035.45,4066.5
1037.7,3996.5
1039.96,3944
1042.21,3930.5
1044.46,3917
1046.71,3800
1048.95,3664.5
1051.2,3681.5
1053.44,3616
1055.68,3612.5
1057.92,3615.5
1060.16,3556.5
1062.4,3579
1064.63,3489
1066.87,3425.5
1069.1,3505
1071.33,3548
1073.56,3461
1075.79,3531
1078.01,3442
1080.24,3511
1082.46,3577.5
1084.68,3591
1086.9,3630.5
1089.12,3618
1091.34,3804
1093.55,4013
1095.77,4252.5
1097.98,4525.5
1100.19,4827
1102.4,5013
1104.61,5084
1106.81,4875
1109.02,4726
1111.22,4543
1113.42,4213.5
1115.62,4152.5
1117.82,3866
1120.02,3902
1122.21,3837.5
1124.41,3902.5
1126.6,3776
1128.79,3684
1130.98,3726.5
1133.17,3625
1135.36,3703.5
1137.54,3585
1139.72,3596
1141.91,3569.5
1144.09,3594
1146.26,3602
1148.44,3653.5
1150.62,3693.5
1152.79,3859
1154.97,4141
1157.14,4955
1159.31,6376.5
1161.47,7740
1163.64,8743
1165.81,9386.5
1167.97,9275.5
1170.13,8639
1172.29,7502
1174.45,6277.5
1176.61,5195.5
1178.77,4453
1180.92,3932
1183.08,3727
1185.23,3734.5
1187.38,3668
1189.53,3688
1191.68,3620.5
1193.82,3683
1195.97,3728.5
1198.11,3731.5
1200.25,3829
1202.39,3932
1204.53,4137.5
1206.67,4388.5
1208.8,4622.5
1210.94,4990
1213.07,5268.5
1215.2,5697
1217.33,6193.5
1219.46,6670
1221.59,7266.5
1223.71,7936.5
1225.84,9183
1227.96,10612.5
1230.08,12127
1232.2,13107
1234.32,13677.5
1236.44,13522.5
1238.55,12549
1240.67,11268
1242.78,9784.5
1244.89,8525
1247,7676.5
1249.11,7376.5
1251.21,7265
1253.32,7175
1255.42,7008.5
1257.53,6874.5
1259.63,6435
1261.73,6067
1263.83,6064
1265.92,6186.5
1268.02,6700.5
1270.11,7457
1272.2,8172.5
1274.3,8554
1276.39,8786
1278.47,8480
1280.56,7813.5
1282.65,7018
1284.73,6231
1286.81,5596
1288.89,5109.5
