À­ÂüÎ»ÒÆ,Count
162.634,11245
165.535,10771
168.435,10412
171.333,10077
174.228,9986.5
177.121,9705
180.011,9801
182.899,10081
185.786,10466
188.669,11014.5
191.551,11498
194.43,12300.5
197.307,13244
200.182,14403
203.055,15427.5
205.925,16183
208.793,16271.5
211.659,15865
214.523,14711
217.385,13213.5
220.244,11438
223.101,10155.5
225.956,9177.5
228.808,8398
231.659,7822
234.507,7409
237.353,7161
240.196,6832
243.038,6730.5
245.877,6529.5
248.714,6420.5
251.549,6233.5
254.382,6218.5
257.213,6206.5
260.041,6138
262.867,6078.5
265.691,6039
268.513,5968
271.333,5900
274.15,5891
276.965,5827
279.778,5865
282.589,5886.5
285.398,5901.5
288.205,5939.5
291.009,5954
293.811,5933.5
296.612,5917
299.409,6053.5
302.205,6081.5
304.999,6188.5
307.79,6616
310.58,7145
313.367,7831
316.152,9013.5
318.935,10240
321.716,11082.5
324.494,11320.5
327.271,11546.5
330.045,11005.5
332.818,9822
335.588,8752.5
338.356,7825.5
341.122,7139.5
343.885,6433
346.647,5998
349.407,5929.5
352.164,5782
354.919,5645.5
357.673,5712.5
360.424,5657.5
363.173,5783
365.92,5814
368.665,6007.5
371.407,6286
374.148,6909.5
376.886,8004
379.623,9915.5
382.357,11883.5
385.089,13096
387.82,13408
390.548,12847
393.274,11399
395.998,9378.5
398.72,7672.5
401.44,6841.5
404.157,6592
406.873,6506
409.587,6290.5
412.298,6094.5
415.008,5789
417.715,5529
420.42,5330.5
423.124,5263
425.825,5320
428.524,5177
431.221,5246
433.917,5196
436.61,5219
439.301,5271.5
441.99,5381.5
444.677,5567.5
447.362,5913
450.045,6306
452.726,6870
455.404,7469
458.081,7994
460.756,8235.5
463.429,8168
466.1,7861
468.769,7233.5
471.435,6676.5
474.1,6104.5
476.763,5844.5
479.424,5567.5
482.082,5495
484.739,5348
487.394,5289
490.046,5488
492.697,5968.5
495.346,6568.5
497.993,7093.5
500.637,7237.5
503.28,7151.5
505.921,6811.5
508.56,6249.5
511.197,5497.5
513.831,5131.5
516.464,4998
519.095,4902.5
521.724,4831
524.351,4794.5
526.976,4745
529.599,4740.5
532.22,4639
534.839,4632
537.456,4649.5
540.072,4584.5
542.685,4593
545.296,4649
547.905,4673.5
550.513,4551
553.118,4588.5
555.722,4743.5
558.323,4712.5
560.923,4737
563.52,4855.5
566.116,4824.5
568.71,4779
571.302,4839.5
573.892,4742
576.48,4806.5
579.066,4829.5
581.65,4858
584.232,4917.5
586.812,5080
589.391,5159.5
591.967,5471
594.542,5867.5
597.114,6090
599.685,6464
602.254,6450
604.821,6317
607.386,6137
609.949,5820.5
612.51,5824.5
615.07,5992.5
617.627,6465
620.182,7057
622.736,7480.5
625.288,7615
627.838,7538
630.386,7336
632.932,6884
635.476,6812.5
638.018,7428.5
640.559,8885.5
643.097,10845
645.634,12356
648.169,12967
650.702,12855.5
653.233,11847.5
655.762,10104
658.289,8173.5
660.815,6675
663.338,5996.5
665.86,5706
668.38,5703
670.898,5668
673.414,5809.5
675.929,5875
678.441,5936.5
680.952,6052
683.461,6108.5
685.968,6094
688.473,6071
690.976,6116.5
693.478,6056
695.977,6052
698.475,6217.5
700.971,6745
703.465,7294.5
705.957,7756
708.448,7866.5
710.937,7667
713.423,7243.5
715.908,6760
718.392,6238
720.873,5857
723.353,5703.5
725.83,5640
728.306,5699.5
730.78,5712.5
733.253,5640
735.723,5508
738.192,5429
740.659,5300
743.124,5130
745.587,4998.5
748.049,4953.5
750.509,4860.5
752.967,4724.5
755.423,4687
757.877,4650
760.33,4546
762.781,4652
765.23,4542
767.677,4573.5
770.122,4550.5
772.566,4626.5
775.008,4774.5
777.448,4924.5
779.886,5301
782.323,6017
784.758,7208
787.191,9254
789.622,11476.5
792.052,13278
794.48,14209.5
796.906,14151.5
799.33,13096
801.752,11396
804.173,9405
806.592,7750.5
809.009,6736.5
811.425,6192
813.839,6157
816.251,6267.5
818.661,6336
821.07,6522
823.477,6993
825.882,7439.5
828.285,7690
830.687,7849.5
833.086,7844.5
835.485,7585.5
837.881,7412.5
840.276,7261
842.669,7781.5
845.06,9293
847.45,12241
849.837,15994
852.223,19081
854.608,20748.5
856.991,20828.5
859.372,18985
861.751,15947.5
864.128,12327
866.504,9175
868.878,6904
871.251,5732.5
873.621,5031.5
875.991,4628
878.358,4407
880.724,4198.5
883.087,4210.5
885.45,4045
887.81,3983
890.169,3955
892.526,4010
894.882,4027.5
897.236,3949
899.588,3930.5
901.938,3998
904.287,4010.5
906.634,4026.5
908.98,4072
911.324,3997
913.666,4018
916.006,4038.5
918.345,3979
920.682,3967
923.017,3999
925.351,3977
927.683,3963
930.014,3976
932.343,3959
934.67,3930.5
936.995,4066.5
939.319,3969.5
941.641,4089.5
943.962,4086.5
946.281,4078.5
948.598,4038
950.913,4032.5
953.227,4107.5
955.54,4187.5
957.85,4578
960.159,5145.5
962.467,5705
964.773,6071
967.077,6275.5
969.379,6102
971.68,5657.5
973.979,5103.5
976.277,4655
978.573,4160.5
980.867,3971
983.16,3850.5
985.451,3854
987.741,3864.5
990.029,3883.5
992.315,3904
994.6,3960.5
996.883,4069
999.164,4259
1001.44,4323
1003.72,4506.5
1006,4560.5
1008.27,4862.5
1010.55,4897
1012.82,5042.5
1015.09,5050.5
1017.36,4901
1019.63,4758
1021.89,4679
1024.15,4442
1026.42,4310
1028.68,4193
1030.94,4206.5
1033.19,4166
1035.45,4101.5
1037.7,4170
1039.96,4069.5
1042.21,3984.5
1044.46,3964.5
1046.71,3866
1048.95,3823
1051.2,3773
1053.44,3732.5
1055.68,3696
1057.92,3570
1060.16,3623.5
1062.4,3509
1064.63,3534.5
1066.87,3591.5
1069.1,3601
1071.33,3551
1073.56,3597
1075.79,3563.5
1078.01,3588.5
1080.24,3568.5
1082.46,3572.5
1084.68,3576.5
1086.9,3618
1089.12,3758
1091.34,3913.5
1093.55,4173
1095.77,4502.5
1097.98,4896
1100.19,5265.5
1102.4,5402
1104.61,5241.5
1106.81,5130
1109.02,4781.5
1111.22,4517.5
1113.42,4288
1115.62,4152.5
1117.82,4113.5
1120.02,3999
1122.21,3961.5
1124.41,3964
1126.6,3851
1128.79,3837.5
1130.98,3760.5
1133.17,3686
1135.36,3665.5
1137.54,3630
1139.72,3643
1141.91,3633.5
1144.09,3642
1146.26,3750
1148.44,3774.5
1150.62,3898
1152.79,4010.5
1154.97,4459
1157.14,5486.5
1159.31,7276.5
1161.47,8835.5
1163.64,9985.5
1165.81,10442.5
1167.97,10188.5
1170.13,9032
1172.29,7534
1174.45,6012.5
1176.61,4820.5
1178.77,4216
1180.92,3918.5
1183.08,3832.5
1185.23,3822.5
1187.38,3817
1189.53,3785
1191.68,3816
1193.82,3936.5
1195.97,3874
1198.11,3929
1200.25,4024.5
1202.39,4197
1204.53,4414
1206.67,4691
1208.8,5033
1210.94,5389.5
1213.07,5770.5
1215.2,6348
1217.33,6793.5
1219.46,7367
1221.59,7920.5
1223.71,8966
1225.84,10413
1227.96,12162
1230.08,13957.5
1232.2,15003.5
1234.32,15170
1236.44,14763.5
1238.55,13394.5
1240.67,11483.5
1242.78,9747
1244.89,8390
1247,7741.5
1249.11,7645.5
1251.21,7747
1253.32,7732.5
1255.42,7543.5
1257.53,7125
1259.63,6644.5
1261.73,6244.5
1263.83,6217.5
1265.92,6641
1268.02,7395.5
1270.11,8371.5
1272.2,9309.5
1274.3,9646
1276.39,9515.5
1278.47,8982
1280.56,8001.5
1282.65,7084.5
1284.73,6106
1286.81,5453
1288.89,5004.5
1290.97,4840.5
1293.05,4769
1295.13,4762
1297.21,4845
1299.28,4902.5
1301.35,4997.5
1303.42,5219
1305.49,5697
1307.56,6306.5
1309.63,7511.5
1311.7,9350
1313.76,11681.5
1315.82,14032.5
1317.89,16255
1319.95,17765.5
1322.01,18204
1324.06,17574.5
1326.12,16065.5
1328.17,14107
1330.23,12053
1332.28,10203
1334.33,8706.5
1336.38,7644.5
1338.43,6938
1340.47,6475.5
1342.52,6162.5
1344.56,6013.5
1346.61,5940.5
1348.65,5939
1350.69,6162.5
1352.72,6497.5
1354.76,6900
1356.8,7446.5
1358.83,8217.5
1360.86,9113
1362.9,9916.5
1364.93,10629
1366.95,11225
1368.98,11170.5
1371.01,10747
1373.03,9963.5
1375.06,9197.5
1377.08,8255.5
1379.1,7321
1381.12,6610.5
1383.14,6042.5
1385.15,5582.5
1387.17,5377.5
1389.18,5058.5
1391.2,4916
1393.21,4720.5
1395.22,4650.5
1397.23,4551
1399.23,4531
1401.24,4465
1403.24,4380.5
1405.25,4375
1407.25,4298
1409.25,4255.5
1411.25,4277.5
1413.25,4319.5
1415.24,4469
1417.24,4371
1419.23,4417
1421.22,4454
1423.22,4514
1425.21,4547.5
1427.2,4590
1429.18,4692.5
1431.17,4688
1433.15,4839
1435.14,4835
1437.12,4863
1439.1,4882.5
1441.08,4928
1443.06,4961.5
1445.03,4800
1447.01,4665.5
1448.98,4531
1450.96,4419
1452.93,4234
1454.9,3990.5
1456.87,3959
1458.84,3872.5
