À­ÂüÎ»ÒÆ,Count
162.634,10884.5
165.535,10317.5
168.435,10016.5
171.333,9650.5
174.228,9430.5
177.121,9392
180.011,9458
182.899,9626
185.786,9903
188.669,10540
191.551,10997.5
194.43,11785
197.307,12739
200.182,14004.5
203.055,15077.5
205.925,15762.5
208.793,15906.5
211.659,15586
214.523,14465
217.385,12867.5
220.244,11092
223.101,9894
225.956,8873
228.808,8009.5
231.659,7584
234.507,7043.5
237.353,6869
240.196,6519
243.038,6356
245.877,6178.5
248.714,6144.5
251.549,6048
254.382,5920
257.213,5843.5
260.041,5812.5
262.867,5785.5
265.691,5793.5
268.513,5738.5
271.333,5627.5
274.15,5649.5
276.965,5590.5
279.778,5600.5
282.589,5545
285.398,5594.5
288.205,5674
291.009,5617.5
293.811,5631
296.612,5638.5
299.409,5727.5
302.205,5894
304.999,5972.5
307.79,6278.5
310.58,6796.5
313.367,7557
316.152,8652.5
318.935,9950
321.716,10709.5
324.494,11154
327.271,11140
330.045,10737.5
332.818,9567
335.588,8448
338.356,7640
341.122,6863.5
343.885,6114
346.647,5748
349.407,5577
352.164,5406
354.919,5387
357.673,5364
360.424,5454
363.173,5497
365.92,5534
368.665,5670.5
371.407,5898.5
374.148,6502
376.886,7576
379.623,9455
382.357,11580
385.089,12867
387.82,13146
390.548,12678.5
393.274,11112.5
395.998,9076.5
398.72,7300
401.44,6516.5
404.157,6361.5
406.873,6197
409.587,6081
412.298,5865
415.008,5545.5
417.715,5235
420.42,5032
423.124,4962.5
425.825,4958.5
428.524,4939
431.221,4905.5
433.917,4984.5
436.61,4992.5
439.301,5004.5
441.99,5240
444.677,5392.5
447.362,5672.5
450.045,5935
452.726,6574
455.404,7249
458.081,7754.5
460.756,8009
463.429,7974.5
466.1,7631
468.769,7053.5
471.435,6516.5
474.1,5951
476.763,5527
479.424,5312.5
482.082,5174.5
484.739,5138
487.394,5155.5
490.046,5272.5
492.697,5761.5
495.346,6473.5
497.993,6951
500.637,7083.5
503.28,6973
505.921,6523
508.56,5870.5
511.197,5247
513.831,4859
516.464,4750
519.095,4713.5
521.724,4676.5
524.351,4598.5
526.976,4535
529.599,4463.5
532.22,4372
534.839,4473.5
537.456,4367
540.072,4328.5
542.685,4383
545.296,4397.5
547.905,4303
550.513,4364.5
553.118,4424.5
555.722,4427.5
558.323,4455.5
560.923,4478.5
563.52,4625
566.116,4567
568.71,4546
571.302,4572.5
573.892,4643
576.48,4673.5
579.066,4687
581.65,4695
584.232,4657.5
586.812,4859
589.391,4952
591.967,5111.5
594.542,5620
597.114,5963
599.685,6230.5
602.254,6294.5
604.821,6204.5
607.386,5857
609.949,5642.5
612.51,5552.5
615.07,5661
617.627,6267.5
620.182,6844
622.736,7337.5
625.288,7509.5
627.838,7399
630.386,7034.5
632.932,6625.5
635.476,6524.5
638.018,6975.5
640.559,8558.5
643.097,10612.5
645.634,12233
648.169,12809
650.702,12778.5
653.233,11633.5
655.762,9759.5
658.289,7818.5
660.815,6414
663.338,5728
665.86,5470
668.38,5443.5
670.898,5477
673.414,5624
675.929,5625
678.441,5791
680.952,5847.5
683.461,5985
685.968,5921.5
688.473,5878.5
690.976,5849
693.478,5863.5
695.977,5889
698.475,6092
700.971,6576.5
703.465,7180
705.957,7593.5
708.448,7671
710.937,7458.5
713.423,7057.5
715.908,6478.5
718.392,5897.5
720.873,5611.5
723.353,5486.5
725.83,5520.5
728.306,5505
730.78,5493.5
733.253,5482.5
735.723,5417.5
738.192,5315.5
740.659,5150
743.124,4917
745.587,4902.5
748.049,4753
750.509,4639
752.967,4493
755.423,4481
757.877,4470.5
760.33,4464.5
762.781,4353
765.23,4417.5
767.677,4413.5
770.122,4427
772.566,4484.5
775.008,4578
777.448,4770.5
779.886,5050
782.323,5739
784.758,6979
787.191,9066
789.622,11469
792.052,13195.5
794.48,14172.5
796.906,14181
799.33,12950.5
801.752,11104
804.173,9028.5
806.592,7310.5
809.009,6411.5
811.425,5958
813.839,5900
816.251,6012
818.661,6159.5
821.07,6409.5
823.477,6814
825.882,7239
828.285,7535.5
830.687,7727
833.086,7711
835.485,7423.5
837.881,7129
840.276,7110
842.669,7575
845.06,9098
847.45,12071.5
849.837,15999.5
852.223,19141.5
854.608,20767.5
856.991,20753.5
859.372,18822
861.751,15529.5
864.128,11837.5
866.504,8655.5
868.878,6519
871.251,5342.5
873.621,4790.5
875.991,4453
878.358,4232
880.724,3998
883.087,3942.5
885.45,3884.5
887.81,3764
890.169,3883.5
892.526,3873.5
894.882,3811
897.236,3789.5
899.588,3779.5
901.938,3791.5
904.287,3844
906.634,3853
908.98,3905
911.324,3847
913.666,3808
916.006,3860.5
918.345,3816.5
920.682,3731
923.017,3812.5
925.351,3765.5
927.683,3848.5
930.014,3844.5
932.343,3800.5
934.67,3796
936.995,3775.5
939.319,3853.5
941.641,3887
943.962,3902.5
946.281,3894
948.598,3914.5
950.913,3800
953.227,3921
955.54,4084
957.85,4399.5
960.159,4993.5
962.467,5596
964.773,5989
967.077,6054.5
969.379,5851.5
971.68,5477.5
973.979,4886
976.277,4324
978.573,3933
980.867,3731.5
983.16,3666.5
985.451,3642
987.741,3724
990.029,3688.5
992.315,3762
994.6,3787.5
996.883,3937
999.164,4023.5
1001.44,4191.5
1003.72,4334
1006,4483.5
1008.27,4660
1010.55,4821.5
1012.82,4792.5
1015.09,4887.5
1017.36,4777.5
1019.63,4604
1021.89,4451.5
1024.15,4265.5
1026.42,4115
1028.68,4088
1030.94,3951
1033.19,4055.5
1035.45,3994
1037.7,3945.5
1039.96,3825.5
1042.21,3748
1044.46,3707
1046.71,3703
1048.95,3673.5
1051.2,3501.5
1053.44,3476
1055.68,3483.5
1057.92,3486.5
1060.16,3429.5
1062.4,3453
1064.63,3361
1066.87,3388.5
1069.1,3324.5
1071.33,3428.5
1073.56,3452.5
1075.79,3429.5
1078.01,3462
1080.24,3459.5
1082.46,3474.5
1084.68,3448.5
1086.9,3468.5
1089.12,3613
1091.34,3820.5
1093.55,3991
1095.77,4369.5
1097.98,4823.5
1100.19,5101.5
1102.4,5270
1104.61,5182
1106.81,4943.5
1109.02,4660
1111.22,4311
1113.42,4094.5
1115.62,3878
1117.82,3859.5
1120.02,3847
1122.21,3825.5
1124.41,3765.5
1126.6,3719.5
1128.79,3694.5
1130.98,3573.5
1133.17,3603.5
1135.36,3493.5
1137.54,3462.5
1139.72,3498.5
1141.91,3510.5
1144.09,3508
1146.26,3607.5
1148.44,3618.5
1150.62,3748.5
1152.79,3910
1154.97,4373.5
1157.14,5348
1159.31,7098
1161.47,8815
1163.64,9964
1165.81,10361
1167.97,10116
1170.13,8868
1172.29,7095
1174.45,5571.5
1176.61,4566
1178.77,3987
1180.92,3773.5
1183.08,3730
1185.23,3633.5
1187.38,3700.5
1189.53,3657.5
1191.68,3702
1193.82,3723.5
1195.97,3758.5
1198.11,3827
1200.25,3909
1202.39,4093.5
1204.53,4316.5
1206.67,4576.5
1208.8,4946.5
1210.94,5306.5
1213.07,5734
1215.2,6186.5
1217.33,6689
1219.46,7157
1221.59,7809.5
1223.71,8856
1225.84,10202
1227.96,12001.5
1230.08,13824.5
1232.2,14942.5
1234.32,15070.5
1236.44,14556.5
1238.55,13050.5
1240.67,11118.5
1242.78,9284
1244.89,7944.5
1247,7483
1249.11,7443.5
1251.21,7475
1253.32,7523
1255.42,7365
1257.53,6978
1259.63,6505
1261.73,6003.5
1263.83,6082
1265.92,6486.5
1268.02,7227.5
1270.11,8197.5
1272.2,9165.5
1274.3,9506
1276.39,9384
1278.47,8706.5
1280.56,7762.5
1282.65,6745
1284.73,5800
1286.81,5116
1288.89,4782.5
1290.97,4688.5
1293.05,4550
1295.13,4657.5
1297.21,4727.5
1299.28,4751.5
1301.35,4937.5
1303.42,5114
1305.49,5587.5
1307.56,6286.5
1309.63,7407.5
1311.7,9266
1313.76,11644.5
1315.82,14058
1317.89,16330.5
1319.95,17649.5
1322.01,18001
1324.06,17289
1326.12,15765
1328.17,13625
1330.23,11622
1332.28,9739
1334.33,8381
1336.38,7398
1338.43,6715.5
1340.47,6313
1342.52,5942.5
1344.56,5839.5
1346.61,5928.5
1348.65,5854
1350.69,6092
1352.72,6366.5
1354.76,6768
1356.8,7389
1358.83,8147.5
1360.86,9008
1362.9,9927.5
1364.93,10615.5
1366.95,11078.5
1368.98,11085
1371.01,10537
1373.03,9803.5
1375.06,8876
1377.08,7908
1379.1,7152.5
1381.12,6366
1383.14,5917
1385.15,5516
1387.17,5174.5
1389.18,4927.5
1391.2,4768
1393.21,4639.5
1395.22,4546
1397.23,4429.5
1399.23,4395
1401.24,4354.5
1403.24,4241.5
1405.25,4232
1407.25,4222.5
1409.25,4147
1411.25,4209
1413.25,4215.5
1415.24,4264.5
1417.24,4283
1419.23,4325.5
1421.22,4370.5
1423.22,4408.5
1425.21,4373.5
1427.2,4533.5
1429.18,4554
1431.17,4629
1433.15,4636
1435.14,4720.5
1437.12,4774.5
1439.1,4789.5
1441.08,4836.5
1443.06,4750
1445.03,4624
1447.01,4489.5
1448.98,4308.5
1450.96,4246.5
1452.93,4144.5
1454.9,3955
1456.87,3875.5
1458.84,3792
1460.8,3739.5
1462.77,3578
1464.73,3511
1466.7,3401
1468.66,3438
1470.62,3393.5
1472.58,3368
1474.53,3233
1476.49,3245.5
1478.44,3178.5
1480.4,3205
1482.35,3116.5
1484.3,3188.5
1486.25,3167.5
1488.2,3112.5
1490.15,3171.5
1492.09,3252
1494.04,3338
1495.98,3476.5
1497.92,3608.5
1499.86,3782.5
1501.8,3894
1503.74,3957.5
1505.68,4112.5
1507.61,4205.5
1509.55,4111
1511.48,4034
1513.41,3878
1515.35,3744.5
1517.27,3566.5
1519.2,3417.5
1521.13,3269.5
1523.06,3160.5
1524.98,3099
1526.9,3063
1528.83,3147
1530.75,3077
1532.67,3167
1534.58,3205
1536.5,3336.5
1538.42,3404.5
1540.33,3650
1542.24,3887
1544.16,4229.5
1546.07,4650.5
1547.98,5252.5
1549.88,5980.5
1551.79,6700
1553.7,7334
1555.6,7750.5
1557.5,7808.5
1559.41,7557
1561.31,7250
1563.21,6696.5
1565.11,6100.5
1567,5508
1568.9,4933.5
1570.79,4528.5
1572.69,4214.5
1574.58,3926
1576.47,3756.5
1578.36,3568.5
1580.25,3649
1582.14,3676
1584.02,3750
1585.91,3780
1587.79,4029
1589.67,4349
1591.55,4855.5
1593.43,5556.5
1595.31,6435.5
1597.19,7741.5
1599.07,9087.5
1600.94,10639.5
1602.82,11986.5
1604.69,12865
1606.56,13338
1608.43,13520
1610.3,13262.5
1612.17,12832
1614.04,12039
1615.9,10977.5
1617.77,9604.5
1619.63,8180.5
1621.49,7077.5
1623.35,6091.5
1625.21,5509.5
1627.07,5226.5
1628.93,5262
1630.78,5521.5
1632.64,5983.5
1634.49,6690.5
1636.34,7685
1638.2,8843.5
1640.05,9858.5
1641.89,10451
1643.74,10771.5
1645.59,10772.5
1647.43,10241
1649.28,9449.5
1651.12,8549
1652.96,7611.5
1654.8,6599.5
1656.64,5688.5
1658.48,4879.5
1660.32,4259
1662.15,3722
1663.99,3455
1665.82,3070.5
1667.66,2897.5
1669.49,2784
1671.32,2691
1673.15,2576
1674.97,2450
1676.8,2474.5
1678.63,2365
1680.45,2374.5
1682.27,2236.5
1684.1,2292.5
1685.92,2198.5
