À­ÂüÎ»ÒÆ,Count
162.634,10374.5
165.535,9807
168.435,9581.5
171.333,9320
174.228,9075
177.121,9032.5
180.011,9163
182.899,9353
185.786,9755
188.669,10211.5
191.551,10772.5
194.43,11421.5
197.307,12228
200.182,13233.5
203.055,14174
205.925,14830
208.793,15114
211.659,14636
214.523,13585
217.385,12265.5
220.244,10704
223.101,9385
225.956,8492.5
228.808,7823
231.659,7297
234.507,6834.5
237.353,6626.5
240.196,6344
243.038,6286
245.877,6111.5
248.714,6013
251.549,5843.5
254.382,5750.5
257.213,5816
260.041,5679
262.867,5527
265.691,5583.5
268.513,5446.5
271.333,5531
274.15,5474.5
276.965,5501
279.778,5470
282.589,5525.5
285.398,5465
288.205,5494.5
291.009,5540.5
293.811,5494.5
296.612,5621
299.409,5673.5
302.205,5730.5
304.999,5908
307.79,6171.5
310.58,6573
313.367,7394.5
316.152,8407.5
318.935,9379
321.716,10312.5
324.494,10647.5
327.271,10607
330.045,10125
332.818,9197.5
335.588,8084.5
338.356,7347
341.122,6639
343.885,5980.5
346.647,5606
349.407,5439.5
352.164,5317
354.919,5307
357.673,5325
360.424,5351
363.173,5357.5
365.92,5486.5
368.665,5605
371.407,5804.5
374.148,6301
376.886,7304
379.623,9056.5
382.357,10884.5
385.089,12079.5
387.82,12370.5
390.548,11772
393.274,10588
395.998,8723.5
398.72,7180
401.44,6395
404.157,6125
406.873,5920
409.587,5884
412.298,5554
415.008,5380
417.715,5100.5
420.42,4972.5
423.124,4930.5
425.825,4833.5
428.524,4823.5
431.221,4783
433.917,4859
436.61,4854.5
439.301,4951
441.99,5122
444.677,5168
447.362,5507
450.045,5808.5
452.726,6385.5
455.404,6966.5
458.081,7363
460.756,7659
463.429,7647
466.1,7350.5
468.769,6879
471.435,6251
474.1,5754.5
476.763,5471.5
479.424,5125
482.082,5112.5
484.739,4907.5
487.394,4932
490.046,5100.5
492.697,5591.5
495.346,6133
497.993,6636
500.637,6723.5
503.28,6679
505.921,6270
508.56,5717
511.197,5121.5
513.831,4766.5
516.464,4642.5
519.095,4606
521.724,4485
524.351,4543
526.976,4412.5
529.599,4390
532.22,4347
534.839,4260
537.456,4295
540.072,4306
542.685,4298
545.296,4283.5
547.905,4272
550.513,4291
553.118,4280.5
555.722,4318
558.323,4367
560.923,4376.5
563.52,4408
566.116,4519
568.71,4549.5
571.302,4516
573.892,4495.5
576.48,4481
579.066,4535
581.65,4574
584.232,4600
586.812,4722
589.391,4841.5
591.967,5012.5
594.542,5333
597.114,5738.5
599.685,5975
602.254,5908
604.821,5926.5
607.386,5710.5
609.949,5442.5
612.51,5383
615.07,5554
617.627,6022.5
620.182,6579.5
622.736,6934.5
625.288,7179
627.838,7043
630.386,6773.5
632.932,6425
635.476,6285
638.018,6781.5
640.559,8182
643.097,9949
645.634,11473
648.169,12038.5
650.702,11798
653.233,10966.5
655.762,9290.5
658.289,7636.5
660.815,6396
663.338,5591.5
665.86,5334.5
668.38,5259.5
670.898,5359
673.414,5383.5
675.929,5426.5
678.441,5479.5
680.952,5697
683.461,5720.5
685.968,5677.5
688.473,5633
690.976,5688.5
693.478,5536.5
695.977,5651
698.475,5803
700.971,6254
703.465,6744
705.957,7126.5
708.448,7220.5
710.937,7112
713.423,6660.5
715.908,6247
718.392,5772.5
720.873,5447.5
723.353,5313
725.83,5293
728.306,5301.5
730.78,5250.5
733.253,5137
735.723,5209
738.192,5017
740.659,4929
743.124,4813
745.587,4739.5
748.049,4568.5
750.509,4489
752.967,4325
755.423,4311
757.877,4318
760.33,4245
762.781,4252.5
765.23,4206.5
767.677,4266
770.122,4273
772.566,4239
775.008,4431
777.448,4613.5
779.886,4827
782.323,5444
784.758,6600
787.191,8514
789.622,10545.5
792.052,12180.5
794.48,13103
796.906,13039.5
799.33,12146
801.752,10439
804.173,8713.5
806.592,7232.5
809.009,6193.5
811.425,5779
813.839,5683
816.251,5799
818.661,5883.5
821.07,6038.5
823.477,6377.5
825.882,6798.5
828.285,7190
830.687,7278
833.086,7277
835.485,7096.5
837.881,6837
