À­ÂüÎ»ÒÆ,Count
162.634,11513
165.535,10951.5
168.435,10608.5
171.333,10216.5
174.228,10115.5
177.121,9911
180.011,9982.5
182.899,10233
185.786,10552.5
188.669,11159
191.551,11728.5
194.43,12443
197.307,13419.5
200.182,14481
203.055,15521
205.925,16290.5
208.793,16339
211.659,15963
214.523,14863.5
217.385,13336.5
220.244,11767.5
223.101,10340
225.956,9241
228.808,8566.5
231.659,7977
234.507,7612
237.353,7268
240.196,7108.5
243.038,6824
245.877,6807
248.714,6593
251.549,6517.5
254.382,6419.5
257.213,6410
260.041,6317.5
262.867,6267
265.691,6263.5
268.513,6138
271.333,6208.5
274.15,6077.5
276.965,6142.5
279.778,6115
282.589,6111.5
285.398,6075
288.205,6124.5
291.009,6161
293.811,6130
296.612,6171.5
299.409,6218.5
302.205,6433
304.999,6519.5
307.79,6768
310.58,7407.5
313.367,8072
316.152,9148
318.935,10434
321.716,11249
324.494,11542.5
327.271,11667.5
330.045,11148.5
332.818,10118.5
335.588,9013.5
338.356,8071
341.122,7274.5
343.885,6707.5
346.647,6262.5
349.407,6040
352.164,5964.5
354.919,5902.5
357.673,5828
360.424,5871.5
363.173,5915.5
365.92,5962
368.665,6267
371.407,6561
374.148,7071
376.886,8150.5
379.623,9989.5
382.357,12024.5
385.089,13264
387.82,13506.5
390.548,13021.5
393.274,11688
395.998,9595
398.72,7953
401.44,7096.5
404.157,6706
406.873,6717
409.587,6536.5
412.298,6252.5
415.008,6046.5
417.715,5717
420.42,5595.5
423.124,5454
425.825,5373.5
428.524,5451.5
431.221,5308
433.917,5428
436.61,5477.5
439.301,5494.5
441.99,5560
444.677,5837
447.362,6069
450.045,6448
452.726,7090.5
455.404,7650
458.081,8133
460.756,8355.5
463.429,8338
466.1,8157
468.769,7553
471.435,6858
474.1,6289
476.763,6036
479.424,5793.5
482.082,5638.5
484.739,5577
487.394,5526
490.046,5690
492.697,6231
495.346,6836.5
497.993,7382
500.637,7373.5
503.28,7346
505.921,6927
508.56,6426.5
511.197,5655
513.831,5339.5
516.464,5234.5
519.095,5154.5
521.724,5067.5
524.351,5056
526.976,4936
529.599,4941
532.22,4910.5
534.839,4822
537.456,4822
540.072,4785
542.685,4808
545.296,4745
547.905,4737.5
550.513,4765
553.118,4874.5
555.722,4836.5
558.323,4896.5
560.923,4959
563.52,5027.5
566.116,4938.5
568.71,5012.5
571.302,4955
573.892,4954.5
576.48,4982
579.066,4999.5
581.65,5085.5
584.232,5154
586.812,5213.5
589.391,5387
591.967,5672
594.542,6026
597.114,6336
599.685,6535
602.254,6567.5
604.821,6472
607.386,6330.5
609.949,6046.5
612.51,6000.5
615.07,6240.5
617.627,6750.5
620.182,7185.5
622.736,7681
625.288,7804.5
627.838,7792.5
630.386,7454.5
632.932,7084
635.476,7009
638.018,7556
640.559,9005.5
643.097,10902.5
645.634,12374.5
648.169,13043
650.702,12872.5
653.233,11977.5
655.762,10267
658.289,8423.5
660.815,6966
663.338,6102
665.86,5891.5
668.38,5856.5
670.898,5857
673.414,5948.5
675.929,6041.5
678.441,6149
680.952,6254
683.461,6294
685.968,6367
688.473,6270
690.976,6324
693.478,6246
695.977,6291
698.475,6481.5
700.971,6968.5
703.465,7504
705.957,7841
708.448,7892
710.937,7817
713.423,7463
715.908,6880
718.392,6434.5
720.873,6075
723.353,5963.5
725.83,5894.5
728.306,5837.5
730.78,5886
733.253,5881
735.723,5718
738.192,5694.5
740.659,5426
743.124,5321
745.587,5263
748.049,5079.5
750.509,4981.5
752.967,4927
755.423,4853
757.877,4861
760.33,4866
762.781,4756.5
765.23,4661
767.677,4751.5
770.122,4812.5
772.566,4831
775.008,4948
777.448,5038.5
779.886,5440.5
