À­ÂüÎ»ÒÆ,Count
162.634,10012.5
165.535,9562.5
168.435,9207.5
171.333,8861
174.228,8795.5
177.121,8731
180.011,8869.5
182.899,9094.5
185.786,9330
188.669,9844
191.551,10401.5
194.43,11099.5
197.307,11870.5
200.182,12659.5
203.055,13709
205.925,14405.5
208.793,14556.5
211.659,14208
214.523,13323.5
217.385,11922
220.244,10365.5
223.101,9183
225.956,8335
228.808,7577
231.659,7144
234.507,6673.5
237.353,6470.5
240.196,6278.5
243.038,6197.5
245.877,6014.5
248.714,5903.5
251.549,5803
254.382,5726.5
257.213,5587.5
260.041,5602.5
262.867,5482
265.691,5549.5
268.513,5433
271.333,5489.5
274.15,5485.5
276.965,5374
279.778,5439.5
282.589,5428.5
285.398,5501.5
288.205,5365
291.009,5448
293.811,5492
296.612,5541.5
299.409,5527
302.205,5533.5
304.999,5769.5
307.79,6033.5
310.58,6528.5
313.367,7233.5
316.152,8250.5
318.935,9203
321.716,10026.5
324.494,10377.5
327.271,10284
330.045,9977
332.818,8917.5
335.588,8029.5
338.356,7198
341.122,6408.5
343.885,5873
346.647,5509.5
349.407,5373.5
352.164,5340.5
354.919,5166
357.673,5220.5
360.424,5313.5
363.173,5296
365.92,5321
368.665,5578
371.407,5716
374.148,6167.5
376.886,7136
379.623,8862.5
382.357,10569.5
385.089,11743
387.82,12131
390.548,11656
393.274,10398
395.998,8493.5
398.72,6971.5
401.44,6329
404.157,6008
406.873,5936.5
409.587,5847
412.298,5542
415.008,5281.5
417.715,5116.5
420.42,4847.5
423.124,4778.5
425.825,4830.5
428.524,4798.5
431.221,4761
433.917,4803.5
436.61,4812.5
439.301,4826
441.99,4953
444.677,5200.5
447.362,5361.5
450.045,5744.5
452.726,6351
455.404,6776
458.081,7267.5
460.756,7451.5
463.429,7448
466.1,7106
468.769,6629
471.435,6122
474.1,5600.5
476.763,5305.5
479.424,5105.5
482.082,4980.5
484.739,4822.5
487.394,4952.5
490.046,5015.5
492.697,5450.5
495.346,6121.5
497.993,6550.5
500.637,6606.5
503.28,6469.5
505.921,6154
508.56,5630.5
511.197,5082.5
513.831,4711
516.464,4591
519.095,4381.5
521.724,4443
524.351,4395
526.976,4393.5
529.599,4400
532.22,4308.5
534.839,4269.5
537.456,4273
540.072,4190
542.685,4161
545.296,4221.5
547.905,4241.5
550.513,4242.5
553.118,4225.5
555.722,4345
558.323,4329
560.923,4381
563.52,4418
566.116,4514.5
568.71,4350
571.302,4424.5
573.892,4492
576.48,4451
579.066,4492
581.65,4509
584.232,4470.5
586.812,4621
589.391,4674
591.967,4968.5
594.542,5364
597.114,5626.5
599.685,5879.5
602.254,5869
604.821,5819
607.386,5652
609.949,5384.5
612.51,5293
615.07,5450
617.627,5945.5
620.182,6436
622.736,6807.5
625.288,6920
627.838,6946
630.386,6663.5
632.932,6311
635.476,6178
638.018,6707.5
640.559,7986.5
643.097,9703.5
645.634,11115.5
648.169,11726
650.702,11474
653.233,10600
655.762,9067
658.289,7332
660.815,6058.5
663.338,5418.5
665.86,5155.5
668.38,5211
670.898,5236.5
673.414,5271.5
675.929,5327.5
678.441,5457.5
680.952,5533.5
683.461,5529.5
685.968,5638.5
688.473,5534
690.976,5586.5
693.478,5538
695.977,5516
698.475,5702
700.971,6124.5
703.465,6595.5
705.957,7012
708.448,7051
710.937,6933.5
713.423,6713
715.908,6119.5
718.392,5613
720.873,5290
723.353,5165
725.83,5205.5
728.306,5225.5
730.78,5173
733.253,5081.5
735.723,5035.5
738.192,5029
740.659,4852.5
743.124,4636
745.587,4679
748.049,4541.5
750.509,4394
752.967,4370.5
755.423,4329.5
757.877,4295.5
760.33,4186
762.781,4155.5
765.23,4159
767.677,4169
770.122,4196
772.566,4293
775.008,4301
777.448,4508
779.886,4777
782.323,5384.5
784.758,6489.5
787.191,8231.5
789.622,10300.5
792.052,11898.5
794.48,12726
796.906,12811
799.33,11754.5
801.752,10179
804.173,8360.5
806.592,6898.5
809.009,5998.5
811.425,5618.5
813.839,5516.5
816.251,5620
818.661,5806
821.07,5928
823.477,6212.5
825.882,6686
828.285,7013
830.687,7133
833.086,7071
835.485,6892
837.881,6623
840.276,6531
842.669,6881
845.06,8285
847.45,10988.5
849.837,14257.5
852.223,17068
854.608,18660.5
856.991,18756.5
859.372,16893
861.751,14163.5
864.128,10916
866.504,8178.5
868.878,6124.5
871.251,5022.5
873.621,4531
875.991,4214.5
878.358,3958.5
880.724,3951
883.087,3777.5
885.45,3690
887.81,3656
890.169,3654.5
892.526,3598
894.882,3666.5
897.236,3602.5
899.588,3653.5
901.938,3684
904.287,3739
906.634,3596.5
908.98,3654.5
911.324,3688
913.666,3688
916.006,3666.5
918.345,3657.5
920.682,3584.5
923.017,3645
925.351,3671
927.683,3676.5
930.014,3601
932.343,3676
934.67,3589.5
936.995,3615.5
939.319,3625.5
941.641,3701.5
943.962,3714
946.281,3687
948.598,3673.5
950.913,3727.5
953.227,3765
955.54,3930.5
957.85,4174.5
960.159,4701
962.467,5278
964.773,5518
