À­ÂüÎ»ÒÆ,Count
162.634,8867.5
165.535,8351
168.435,7998.5
171.333,7608
174.228,7336
177.121,7272.5
180.011,7289.5
182.899,7453
185.786,7760
188.669,8281
191.551,8821
194.43,9599
197.307,10447
200.182,11492.5
203.055,12334
205.925,12986
208.793,13146
211.659,12660
214.523,11716.5
217.385,10382
220.244,8950.5
223.101,7555.5
225.956,6481.5
228.808,5846
231.659,5299.5
234.507,4867.5
237.353,4645
240.196,4386
243.038,4216
245.877,4045.5
248.714,3958.5
251.549,3846
254.382,3734
257.213,3705
260.041,3589
262.867,3570
265.691,3530.5
268.513,3496
271.333,3459.5
274.15,3397.5
276.965,3354.5
279.778,3363.5
282.589,3461.5
285.398,3385.5
288.205,3407
291.009,3421.5
293.811,3458
296.612,3448.5
299.409,3632
302.205,3651
304.999,3778.5
307.79,4197
310.58,4587.5
313.367,5394
316.152,6398.5
318.935,7471.5
321.716,8196
324.494,8589.5
327.271,8592
330.045,8122.5
332.818,7156
335.588,6238
338.356,5307.5
341.122,4624
343.885,4044
346.647,3576.5
349.407,3427.5
352.164,3257.5
354.919,3311.5
357.673,3354.5
360.424,3356
363.173,3439.5
365.92,3450
368.665,3643.5
371.407,3827
374.148,4410.5
376.886,5548.5
379.623,7150
382.357,8815.5
385.089,9981.5
387.82,10221
390.548,9800
393.274,8639.5
395.998,6901.5
398.72,5397
401.44,4442
404.157,4172.5
406.873,4018
409.587,3849.5
412.298,3700.5
415.008,3470
417.715,3160.5
420.42,2981.5
423.124,2911.5
425.825,2865.5
428.524,2898.5
431.221,2822.5
433.917,2937.5
436.61,2915.5
439.301,2965.5
441.99,3108
444.677,3357.5
447.362,3555.5
450.045,3958.5
452.726,4420.5
455.404,5040
458.081,5374
460.756,5617
463.429,5599.5
466.1,5364
468.769,4847
471.435,4305
474.1,3897
476.763,3557
479.424,3279
482.082,3160.5
484.739,3049.5
487.394,3054
490.046,3269.5
492.697,3766
495.346,4285.5
497.993,4604
500.637,4757
503.28,4708.5
505.921,4447.5
508.56,3877
511.197,3382.5
513.831,2960
516.464,2783.5
519.095,2666.5
521.724,2643.5
524.351,2643.5
526.976,2557.5
529.599,2533.5
532.22,2455
534.839,2452.5
537.456,2435
540.072,2392
542.685,2372
545.296,2465.5
547.905,2409.5
550.513,2445.5
553.118,2464
555.722,2500.5
558.323,2532
560.923,2515.5
563.52,2526.5
566.116,2606.5
568.71,2580.5
571.302,2589.5
573.892,2606.5
576.48,2620
579.066,2587
581.65,2673
584.232,2723
586.812,2786.5
589.391,2995
591.967,3183.5
594.542,3501.5
597.114,3862
599.685,4143
602.254,4146
604.821,4054.5
607.386,3927
609.949,3759.5
612.51,3662.5
615.07,3968
617.627,4315.5
620.182,4773
622.736,5134
625.288,5241
627.838,5227
630.386,5034
632.932,4748
635.476,4777
638.018,5253.5
640.559,6567.5
643.097,8327
645.634,9526
648.169,10111
650.702,10154.5
653.233,9189.5
655.762,7904
658.289,6283.5
660.815,4892
663.338,4069
665.86,3619.5
668.38,3599.5
670.898,3617.5
673.414,3659.5
675.929,3740.5
678.441,3875
680.952,3886
683.461,3963
685.968,4029
688.473,4023.5
690.976,3957.5
693.478,3942.5
695.977,3933
698.475,4202.5
700.971,4632
703.465,5170
705.957,5524
708.448,5570.5
710.937,5381.5
713.423,5151.5
715.908,4641.5
718.392,4277.5
720.873,3919.5
723.353,3678.5
725.83,3657.5
728.306,3621
730.78,3556.5
733.253,3528
735.723,3536
738.192,3379.5
740.659,3271
743.124,3186.5
745.587,3097.5
748.049,2946.5
750.509,2824
752.967,2801.5
755.423,2751.5
757.877,2758
760.33,2688.5
762.781,2685
765.23,2631
767.677,2686.5
770.122,2658.5
772.566,2746
775.008,2798.5
777.448,2911
779.886,3340.5
782.323,3916
784.758,5145
787.191,6995.5
789.622,8920.5
792.052,10442.5
794.48,11430
796.906,11483
799.33,10786.5
801.752,9359
804.173,7662
806.592,6104.5
809.009,5025
811.425,4444.5
813.839,4269.5
816.251,4274
818.661,4473
821.07,4672.5
823.477,4968.5
825.882,5379
828.285,5674
830.687,5844
833.086,5782.5
835.485,5606.5
837.881,5403
840.276,5420.5
842.669,5894.5
845.06,7200.5
847.45,9795
849.837,13085.5
852.223,15837
854.608,17354
856.991,17621.5
859.372,16250
861.751,13684.5
864.128,10766
866.504,7881.5
868.878,5693
871.251,4213
873.621,3306
875.991,2926.5
878.358,2733.5
880.724,2548.5
883.087,2384
885.45,2346.5
887.81,2306
890.169,2318
892.526,2295
894.882,2245
897.236,2224
899.588,2321
901.938,2280.5
904.287,2321.5
906.634,2335.5
908.98,2324.5
911.324,2273.5
913.666,2376
916.006,2357
918.345,2313.5
920.682,2276.5
923.017,2293.5
925.351,2234
927.683,2288.5
930.014,2252.5
932.343,2301.5
934.67,2284.5
936.995,2294
939.319,2343
941.641,2405.5
943.962,2337
946.281,2361.5
948.598,2378.5
950.913,2423
953.227,2422
955.54,2577
957.85,2934.5
960.159,3365.5
962.467,3910.5
964.773,4204
967.077,4406
969.379,4290
971.68,3953
973.979,3513.5
976.277,3117.5
978.573,2719
980.867,2531
983.16,2330
985.451,2351.5
987.741,2327.5
990.029,2278.5
992.315,2360.5
994.6,2400
996.883,2497
999.164,2618.5
1001.44,2646.5
1003.72,2774.5
1006,2896
1008.27,3146
1010.55,3275.5
